"","open","high","low","close"
"2006-04-24",1423.41,1429.06,1402.27,1409.79
"2006-04-28",1403.52,1444.71,1389.35,1440.22
"2006-05-08",1446.99,1497.2,1446.99,1497.1
"2006-05-15",1616.26,1664.94,1606.57,1664.09
"2006-05-22",1656.75,1674.22,1646.68,1657.69
"2006-05-29",1622.11,1648.84,1609.01,1648.54
"2006-06-05",1669.24,1685.29,1639.68,1684.62
"2006-06-12",1540.22,1566.45,1529.5,1552.8
"2006-06-19",1559.99,1591.85,1544.93,1586.29
"2006-06-26",1607.79,1635.8,1607.79,1633.45
"2006-07-03",1677.31,1697.83,1670.02,1697.28
"2006-07-10",1730.7,1737.03,1715.83,1734.33
"2006-07-17",1662.05,1684.34,1653.6,1682.89
"2006-07-24",1648.75,1667.62,1632.69,1665.94
"2006-07-31",1659.54,1659.54,1611.16,1612.73
"2006-08-07",1561.8,1570.05,1541.41,1547.44
"2006-08-14",1605.2,1611.66,1566.72,1570.74
"2006-08-21",1565.46,1602.13,1558.1,1601.15
"2006-08-28",1627.12,1651.29,1624.28,1650.44
"2006-09-04",1635.33,1657.69,1635.12,1657.52
"2006-09-11",1668.16,1675.09,1653.01,1674.97
"2006-09-18",1727.92,1733.41,1719.16,1732.99
"2006-09-25",1722.74,1732.28,1709.77,1722.37
"2006-09-29",1740.06,1755.69,1740.06,1752.42
"2006-10-09",1768.14,1786.11,1763.11,1785.39
"2006-10-16",1787.7,1789.18,1766.31,1771.3
"2006-10-23",1789.65,1797.43,1753.49,1759.39
"2006-10-30",1804.37,1815.61,1788.29,1809.66
"2006-11-06",1853.19,1886.52,1846.01,1886.31
"2006-11-13",1878.7,1905.9,1852.1,1863.77
"2006-11-20",1977.53,2018,1977.53,2017.28
"2006-11-27",2042.19,2049.54,2022.38,2047.28
"2006-12-04",2103.82,2164.58,2100.56,2161.65
"2006-12-11",2085.06,2181.16,2084.27,2180.5
"2006-12-18",2277.28,2335.23,2277.28,2332.43
"2006-12-25",2350.13,2452.43,2350.13,2435.76
"2006-12-29",2585.42,2698.9,2585.42,2675.47
"2007-01-08",2621.07,2708.44,2620.62,2707.2
"2007-01-15",2660.07,2795.33,2658.88,2794.7
"2007-01-22",2857.9,2934.65,2857.9,2933.19
"2007-01-29",2897.25,2954.34,2885.86,2945.26
"2007-02-05",2658.07,2672.35,2610.33,2612.54
"2007-02-12",2729.84,2807.51,2728.78,2807.17
"2007-02-16",3018.18,3036.35,2975.83,2998.47
"2007-02-26",2999.09,3041.34,2960.75,3040.6
"2007-03-05",2827.68,2858.44,2723.06,2785.31
"2007-03-12",2945.92,2958.63,2904.74,2954.91
"2007-03-19",2864.26,3038,2852.86,3014.44
"2007-03-26",3083.94,3123.18,3069.47,3122.81
"2007-04-02",3196.59,3253.44,3196.59,3252.6
"2007-04-09",3333.42,3399.51,3333.26,3398.95
"2007-04-16",3523.22,3597.22,3523.22,3596.44
"2007-04-23",3615.79,3710.89,3615.79,3710.89
"2007-04-30",3784.27,3851.35,3759.48,3841.27
"2007-05-14",3970.66,4081.43,3940.36,4046.39
"2007-05-21",3902.35,4083.42,3892.98,4072.23
"2007-05-28",4221.58,4283.93,4215.24,4272.11
"2007-06-04",3981.82,3987.27,3659.09,3670.4
"2007-06-11",3942,4000.42,3930.74,3995.68
"2007-06-18",4195.39,4267.74,4193.31,4253.35
"2007-06-25",4102.79,4131.13,3912.42,3941.08
"2007-07-02",3800.23,3859.86,3724.19,3836.29
"2007-07-09",3809.67,3900.9,3782.73,3883.22
"2007-07-16",3920.65,3931.87,3820.57,3821.92
"2007-07-23",4091.24,4220.32,4091.24,4213.36
"2007-07-30",4348.61,4450.19,4345.79,4440.77
"2007-08-06",4600.12,4629.97,4564.31,4628.11
"2007-08-13",4768.62,4872.55,4728.89,4820.06
"2007-08-20",4773.83,4906,4758.4,4904.86
"2007-08-27",5144.82,5192.06,5092.08,5150.12
"2007-09-03",5257.78,5327.54,5257.78,5321.06
"2007-09-10",5208.32,5356.86,5169.9,5355.29
"2007-09-17",5309.06,5427.17,5307.77,5421.39
"2007-09-24",5469.84,5506.06,5404.42,5485.01
"2007-09-28",5461.58,5560.42,5461.58,5552.3
"2007-10-08",5683.31,5729.96,5620,5692.76
"2007-10-15",5934.78,6039.04,5866.13,6030.09
"2007-10-22",5742.79,5804.84,5654.91,5667.33
"2007-10-29",5641.98,5750.25,5617.98,5748
"2007-11-05",5748.18,5787.23,5603.47,5634.45
"2007-11-12",5181.17,5250.09,5032.58,5187.73
"2007-11-19",5325.3,5333.09,5240.42,5269.82
"2007-11-26",5102.53,5124.89,4952.43,4958.85
"2007-12-03",4838.56,4899.67,4798.01,4868.61
"2007-12-10",5010.83,5168.76,4990.72,5161.92
"2007-12-17",5007.29,5007.35,4874.62,4876.76
"2007-12-24",5132.91,5284.34,5104.65,5234.26
"2007-12-28",5320.01,5336.5,5248.69,5261.56
"2008-01-07",5357.45,5403.35,5332.6,5393.34
"2008-01-14",5507.58,5522.78,5456.93,5497.9
"2008-01-21",5188.79,5200.93,4891.29,4914.44
"2008-01-28",4720.56,4720.56,4409.08,4419.29
"2008-02-04",4415.02,4672.21,4415.02,4672.17
"2008-02-05",4622.54,4662.97,4550.43,4599.7
"2008-02-18",4546.75,4601.22,4517.6,4568.15
"2008-02-25",4370.19,4391.33,4182.77,4192.53
"2008-03-03",4323.7,4456.96,4279.35,4438.27
"2008-03-10",4265.61,4265.61,4120.53,4146.3
"2008-03-17",3941.26,3941.26,3813,3820.05
"2008-03-24",3830.35,3840.48,3624.94,3626.19
