"","hmm_str","shangzheng"
"2012-10-08",0,-0.0056323310180858
"2012-10-15",0,0.0117044764319665
"2012-10-22",0,0.0162290942011722
"2012-10-29",0,-0.0346124270897804
"2012-11-05",0,0.026756486347344
"2012-11-12",0,-0.0164425291977882
"2012-11-19",0,-0.0299576293603043
"2012-11-26",0,0.000237979553590062
"2012-12-03",0,-0.0285953624855017
"2012-12-10",0,0.063272730983738
"2012-12-17",0.0367458980597668,0.0367458980597668
"2012-12-24",-0.000597128229815613,-0.000597128229815613
"2012-12-31",0.0509853870915449,0.0509853870915449
"2013-01-07",0.00715252101025499,0.00715252101025499
"2013-01-14",0.0115430391710714,0.0115430391710714
"2013-01-21",0.00712882936662429,0.00712882936662429
"2013-01-28",0.00785149169752009,0.00785149169752009
"2013-02-04",0.0347965054336246,0.0347965054336246
"2013-02-08",0.00175030372917662,0.00175030372917662
"2013-02-18",0,-0.00445650386449603
"2013-02-25",0,-0.0395364971340788
"2013-03-04",0,-0.0225382875716952
"2013-03-11",0,0.0163587578076889
"2013-03-18",0,-0.0305419827836181
"2013-03-25",0,0.0387050115623966
"2013-04-01",0,-0.0396824714619722
"2013-04-08",0,-0.0102041273009634
"2013-04-15",0,-0.0134066440886421
"2013-04-22",0,0.0276038754502874
"2013-04-26",0,-0.0286597358808655
"2013-05-06",0,0.0244546377031192
"2013-05-13",0.00481809992066951,0.00481809992066951
"2013-05-20",0.0259019055095631,0.0259019055095631
"2013-05-27",-0.00300436088852551,-0.00300436088852551
"2013-06-03",0,0.00269070420569717
"2013-06-07",0,-0.0384255735565945
"2013-06-17",0,-0.0247320095888554
"2013-06-24",0,-0.0894992162209792
"2013-07-01",0,0.0162995863979951
"2013-07-08",0,-0.0185290992562298
"2013-07-15",0,0.0516374146568144
"2013-07-22",0,-0.0265272726389852
"2013-07-29",0,-0.0141912248847743
"2013-08-05",0.0375295373701494,0.0375295373701494
"2013-08-12",0.0247746869025789,0.0247746869025789
"2013-08-19",-0.00746211832787647,-0.00746211832787647
"2013-08-26",0.00521192942079018,0.00521192942079018
"2013-09-02",0.000944444709440218,0.000944444709440218
"2013-09-09",0.0543591698634707,0.0543591698634707
"2013-09-16",0.0085332561965541,0.0085332561965541
"2013-09-23",-0.00464282513220404,-0.00464282513220404
"2013-09-30",0,-0.0208776068868638
"2013-10-14",0,0.0290158966647813
"2013-10-21",0,-0.00381183052771294
"2013-10-28",0,-0.0427813963503256
"2013-11-04",0,0.00738564204942205
"2013-11-11",0,-0.0186822848583246
"2013-11-18",0,0.0415981265436343
"2013-11-25",-0.00505638943756181,-0.00505638943756181
"2013-12-02",0.00972503670904024,0.00972503670904024
"2013-12-09",0,0.0139668474247634
"2013-12-16",0,-0.0345545527656151
"2013-12-23",0,-0.0329267051081514
"2013-12-30",0,0.00374214603940271
"2014-01-06",0,-0.0247052485542519
"2014-01-13",0,-0.0176711264059911
"2014-01-20",0,-0.00911144728199209
"2014-01-27",0,0.0211173885750158
"2014-01-30",-0.000108198495057277,-0.000108198495057277
"2014-02-10",0.026063903043658,0.026063903043658
"2014-02-17",0.0236569242642863,0.0236569242642863
"2014-02-24",0,-0.027502786337114
"2014-03-03",0,-0.000698226504678212
"2014-03-10",0,-0.0367041884312175
"2014-03-17",0,0.0123057221608049
"2014-03-24",0,0.021055804553114
"2014-03-31",0,-0.0159562111620886
"2014-04-04",0.0125509636995835,0.0125509636995835
