"","zz","hs","calcs","calcs.1"
"2006-07-14",1470.47,1357.13,1.14047113912776,0.00124177199920523
"2006-07-17",1494.79,1372.25,1.13708830192628,0.00111753086527952
"2006-07-18",1506.59,1373.42,1.13606327123208,0.00155010172581597
"2006-07-19",1472.35,1336.64,1.06932777493765,0.00196497443429101
"2006-07-20",1484.41,1345.19,1.07030956913845,0.00203651050525384
"2006-07-21",1493.04,1356.03,1.07392233974102,0.00179845467038963
"2006-07-24",1496.61,1358.12,1.07396234443946,0.00176816555195007
"2006-07-25",1518.17,1374.17,1.07490402950635,0.00161967255873595
"2006-07-26",1523.86,1371.3,1.07246705799566,0.00176182433429913
"2006-07-27",1506.56,1355.55,1.07412553785626,0.00172261616403642
"2006-07-28",1492.11,1341.39,1.10158803724391,0.00192541348625839
"2006-07-31",1425.04,1294.33,1.14998210330286,0.00185356959798628
"2006-08-01",1408.9,1282.06,1.1486788107836,0.00153015055115071
"2006-08-02",1401.86,1275.09,1.14865406766942,0.00154142135372077
"2006-08-03",1401.16,1271.74,1.14849691527565,0.00154986625823584
"2006-08-04",1354.78,1241.91,1.16404636160545,0.00115453638500334
"2006-08-07",1323.73,1224.1,1.18478948400918,0.00109239660001755
"2006-08-08",1364.99,1252.39,1.19208125901868,0.00107986107147679
"2006-08-09",1367.4,1251.3,1.19301224782534,0.00121239147496033
"2006-08-10",1391.14,1271.47,1.22487927989987,0.00158350038465961
"2006-08-11",1398.01,1275.65,1.22486741945912,0.00162828595512394
"2006-08-14",1356.85,1245.72,1.24880402061519,0.00184892465096026
"2006-08-15",1383.36,1265.86,1.24376697565275,0.00165167178193413
"2006-08-16",1407.31,1283.57,1.24870485280771,0.00137961069004858
"2006-08-17",1395.72,1271.63,1.23778371416941,0.00129686791287701
"2006-08-18",1384.9,1267.87,1.23970996471838,0.000882269744359539
"2006-08-21",1392.97,1270.56,1.23938263882923,0.000847134137681611
"2006-08-22",1408.85,1285.27,1.23125342381476,0.000658462492682699
"2006-08-23",1403.58,1285.68,1.22963028372752,0.000528804721221047
"2006-08-24",1416.9,1292.4,1.20845928370271,0.000675278708151599
"2006-08-25",1421.1,1295.44,1.21384206842151,0.000773454519825539
"2006-08-28",1457.32,1325.89,1.19340543813882,0.000550083679215063
"2006-08-29",1456.44,1330.16,1.18794333460283,0.000167344691746601
"2006-08-30",1468.66,1334.67,1.23608562862285,8.01623558946313e-06
"2006-08-31",1479.9,1338.69,1.23805869201128,0.000129694427665688
"2006-09-01",1451.95,1318.1,1.24510230683055,0.000279676378731303
"2006-09-04",1484.44,1337.24,1.25574785845159,0.000411665578787911
"2006-09-05",1490.15,1340.68,1.25781593901808,0.00044819338764198
"2006-09-06",1497.01,1346.37,1.25848425629201,0.000211551461334656
"2006-09-07",1472.51,1328.38,1.26363570903882,0.000126157694288743
"2006-09-08",1473.92,1332.15,1.2687307560612,-8.10383856267378e-05
"2006-09-11",1481.93,1338.76,1.26492780018344,-9.05573783187449e-05
"2006-09-12",1487.74,1347.64,1.26175515701522,-0.000256226696498485
"2006-09-13",1466.04,1338.39,1.27719890500473,-0.000541855307173029
"2006-09-14",1467.8,1338.28,1.2800090014558,-0.000598519325263262
"2006-09-15",1484.69,1362.32,1.21806542524592,-0.000683670435198647
"2006-09-18",1507.94,1375.56,1.19998421813249,-0.000303118673206067
"2006-09-19",1512.96,1378.31,1.17477758939857,-0.000304788754663861
"2006-09-20",1517.29,1378.46,1.17584374866099,-0.000310085276548019
"2006-09-21",1521.95,1387.37,1.17657853338157,-0.000410152878681223
"2006-09-22",1509.39,1374.85,1.16543921321169,-0.000338596271282435
"2006-09-25",1514.28,1372.4,1.13268180762196,1.57201581340753e-05
"2006-09-26",1508.2,1357.65,1.07930020765271,0.000373584231760486
"2006-09-27",1522.45,1371.12,1.06401829446558,0.000292034834320249
"2006-09-28",1535.27,1387,1.05505233404265,0.000132861130888966
"2006-09-29",1550.8,1403.27,1.03230334650723,0.000289836577998328
"2006-10-09",1579.52,1436.07,0.991107153271242,0.000151889012540692
"2006-10-10",1588.81,1437.25,0.986095484814275,0.000342194883909728
"2006-10-11",1591.45,1435.91,0.976127194580616,0.000600611848880127
"2006-10-12",1567.29,1426.5,1.00843529839931,5.36218914315008e-05
"2006-10-13",1575.86,1430.88,1.00838407361882,0.000113111610740979
"2006-10-16",1567.09,1418.52,0.979262479511859,0.000225230187228668
"2006-10-17",1568.51,1414.45,0.973882478836406,0.000485585068546608
"2006-10-18",1588.59,1437.59,0.952910831644523,0.000264516239763952
"2006-10-19",1597.38,1439.38,0.950020070110006,0.000257090383372984
"2006-10-20",1587.9,1440.18,0.920357024343016,0.000272967975757362
"2006-10-23",1537.32,1408.72,0.984446520926323,-0.00053328440732539
"2006-10-24",1577.09,1440.05,1.01317078952913,-0.000514592015052592
"2006-10-25",1565.9,1446.83,1.00444585127379,-0.000898823809932696
"2006-10-26",1556.69,1456.1,0.979454702937255,-0.00113346367744421
"2006-10-27",1530.26,1439.05,0.999960448181,-0.00131024954858483
"2006-10-30",1527.22,1446.24,0.994223875702039,-0.00154368898225001
"2006-10-31",1541.64,1464.47,0.990787885422263,-0.00154784616695649
"2006-11-01",1548.52,1479.41,0.961148103336302,-0.00137583380135632
"2006-11-02",1545.83,1479.66,0.964683602168889,-0.00149384016938044
"2006-11-03",1549.66,1488.29,0.985490826133635,-0.00146716451757112
"2006-11-06",1540.61,1507.89,0.909328953818252,-0.00205990997792384
"2006-11-07",1525.65,1516.1,0.901356409211786,-0.00257324312576033
"2006-11-08",1521.45,1498.17,0.85735542875933,-0.00227718173182124
"2006-11-09",1537.86,1524.71,0.848381073651425,-0.00231279021484454
"2006-11-10",1498.87,1504.06,0.909167709674523,-0.0029408263422509
"2006-11-13",1445.68,1475.78,1.00111932032018,-0.00394480028394855
"2006-11-14",1461.72,1493.78,1.04666511499623,-0.00435501665275388
"2006-11-15",1484.45,1534.76,0.99436250107437,-0.00456186653073511
"2006-11-16",1462.68,1533.29,1.00085209408912,-0.00493796479352281
"2006-11-17",1476.75,1562.08,0.98064973727715,-0.00511574195860223
"2006-11-20",1466.65,1593.16,0.897907382987648,-0.00555454309501903
"2006-11-21",1477.68,1612.25,0.909590590606739,-0.0058796474887734
"2006-11-22",1500.81,1624.03,0.929840480344338,-0.00574782988775897
"2006-11-23",1509.32,1634.91,0.923656592261404,-0.00543493206747667
"2006-11-24",1532.02,1636.58,0.910412394502681,-0.00499240383713785
"2006-11-27",1567.05,1651.8,0.95403022985281,-0.00481402281882481
"2006-11-28",1577.18,1644.01,0.933114864692226,-0.00446344267591167
"2006-11-29",1597,1667.14,0.936170577170333,-0.00441537839365374
"2006-11-30",1623.82,1714.36,0.919396867658012,-0.00478570297054356
"2006-12-01",1629.21,1729.22,0.917442404013475,-0.00471374221575254
"2006-12-04",1663.2,1780.74,0.859338160361436,-0.00407590284801909
"2006-12-05",1675.46,1794.23,0.82022847661241,-0.00398208192141924
"2006-12-06",1649.14,1779.41,0.834030618788011,-0.00401115965419215
"2006-12-07",1632.91,1775.71,0.841720904477019,-0.00395882145905119
"2006-12-08",1571.18,1711.58,0.856889351078064,-0.00405766970906827
"2006-12-11",1621.26,1789.92,0.839113510166842,-0.00396464763805403
"2006-12-12",1626.59,1802.79,0.837011206730137,-0.00400346696092483
"2006-12-13",1634.84,1803.86,0.829908539004909,-0.00366711744166449
"2006-12-14",1662.27,1836.14,0.839520967288604,-0.00361090189625684
"2006-12-15",1689.67,1867.64,0.846915548240159,-0.00351801243729451
"2006-12-18",1717.23,1916.11,0.850650315055421,-0.00317095609782074
"2006-12-19",1724.53,1921.44,0.84356012971585,-0.00257291752477639
"2006-12-20",1756,1936.55,0.868861485851842,-0.00264706972763681
"2006-12-21",1737.38,1908.99,0.859129684719092,-0.00236035391791621
"2006-12-22",1728.4,1895.64,0.821128399460666,-0.00157605672058332
"2006-12-25",1744.82,1939.1,0.733308631081883,-0.000405379050876328
"2006-12-26",1726.78,1938.24,0.744522263483844,-0.000909998535023408
"2006-12-27",1738.53,1982.88,0.735869847463288,-0.00101704671882822
"2006-12-28",1704.72,1979.93,0.743169731796726,-0.00122677728938551
"2006-12-29",1726.15,2041.05,0.720439126252534,-0.00122161565731427
"2007-01-04",1723.69,2067.09,0.745496464617048,-0.00109122460830758
"2007-01-05",1770.48,2072.88,0.725274860289499,-3.63381706009317e-05
"2007-01-08",1851.96,2131.56,0.790825746147325,-0.000137095531631462
"2007-01-09",1891.87,2200.09,0.781012827395036,-0.00017973262401239
"2007-01-10",1940.83,2255.97,0.808829941917247,-0.000756129959676715
"2007-01-11",1952.24,2231.63,0.77390807970867,-0.000423629887633723
"2007-01-12",1881.75,2173.75,0.845062601433592,-0.00197252255811409
"2007-01-15",1986.54,2287.34,0.892394264105415,-0.00212156928450898
"2007-01-16",2055.02,2353.87,0.918586885669929,-0.00183828432134721
"2007-01-17",2035.65,2308.93,0.89530743666014,-0.00118286487029853
"2007-01-18",2085.4,2317.09,0.893092424940743,-0.000259995732679638
"2007-01-19",2159.64,2396.09,0.903508826862382,-0.000211626275292588
"2007-01-22",2258.99,2491.31,0.913504248459924,0.000284901212431404
"2007-01-23",2261.78,2508.13,0.90678948034326,0.000464414395298173
"2007-01-24",2283.7,2536.43,0.881481111287159,0.000953378881737033
"2007-01-25",2174.24,2452.83,0.984657632232246,-0.000502589745761412
"2007-01-26",2186.27,2512.92,0.96325465328419,-0.000753402188531168
